genre_ids,id,original_language,overview,popularity,release_date,title,vote_average,vote_count
"[28, 53, 80]",574060,en,"In her turbulent life as a professional assassin, Sam has no choice but to go rogue to save the life of an innocent 8-year-old girl in the middle of the gang war she has unleashed.",352.995,7/14/2021,Gunpowder Milkshake,6.5,421
[27],820511,en,A detective and a medical examiner join forces to solve a series of horrific murders in Victorian London - but one of them harbors a deadly secret.,317.004,6/28/2021,Ripper Untold,6.5,54
"[28, 12, 14, 878]",791373,en,"Determined to ensure Superman's ultimate sacrifice was not in vain, Bruce Wayne aligns forces with Diana Prince with plans to recruit a team of metahumans to protect the world from an approaching threat of catastrophic proportions.",365.097,3/18/2021,Zack Snyder's Justice League,8.4,6947
"[16, 35, 10751, 10402]",335797,en,A koala named Buster recruits his best friend to help him drum up business for his theater by hosting a singing competition.,288.225,11/23/2016,Sing,7.1,6351
[53],835551,en,A young girl struggles to survive after a group of home invaders break into her house to steal her family's priceless artwork.,302.238,7/30/2021,Masquerade,5.8,34
"[35, 10751, 18]",32471,en,"On the eve of Y2K, orphaned 12-year-old Beverly discovers a broken mixtape crafted by her teen parents. Raised by her grandmother - who struggles talking about her late daughter - Beverly sees the mixtape as a chance to finally learn more about her parents.",291.039,12/3/2021,Mixtape,7.6,34
"[16, 10751, 12, 14, 35]",529203,en,"Searching for a safer habitat, the prehistoric Crood family discovers an idyllic, walled-in paradise that meets all of its needs. Unfortunately, they must also learn to live with the Bettermans -- a family that's a couple of steps above the Croods on the evolutionary ladder. As tensions between the new neighbors start to rise, a new threat soon propels both clans on an epic adventure that forces them to embrace their differences, draw strength from one another, and survive together.",317.531,11/25/2020,The Croods: A New Age,7.6,2692
"[35, 14, 12, 878]",425909,en,"When a single mom and her two kids arrive in a small town, they begin to discover their connection to the original Ghostbusters and the secret legacy their grandfather left behind.",351.471,11/11/2021,Ghostbusters: Afterlife,7.3,307
"[28, 12, 14, 878]",19995,en,"In the 22nd century, a paraplegic Marine is dispatched to the moon Pandora on a unique mission, but becomes torn between following orders and protecting an alien civilization.",312.516,12/10/2009,Avatar,7.5,24483
"[28, 53]",768449,en,"A seemingly cold-blooded hitman is assigned to befriend a call girl, but all hell breaks loose when he is assigned to kill her.",286.772,3/6/2021,American Badger,5.8,18
"[28, 80, 53]",645788,en,"Rescued as a child by the legendary assassin Moody and trained in the family business, Anna is the world’s most skilled contract killer. When Moody, the man who was like a father to her and taught her everything she needs to know about trust and survival, is brutally killed, Anna vows revenge. As she becomes entangled with an enigmatic killer whose attraction to her goes way beyond cat and mouse, their confrontation turns deadly and the loose ends of a life spent killing will weave themselves ever tighter.",285.904,8/19/2021,The Protégé,6.8,381
"[10770, 16, 35, 10751, 18]",805411,en,"Happily-ever-after continues for Auradon's power couple as they prepare to say ""I do"" at an epic celebration with their friends and family, but Hades threatens to ruin it all.",292.564,8/13/2021,Descendants: The Royal Wedding,7,66
"[53, 27, 9648]",631843,en,A group of families on a tropical holiday discover that the secluded beach where they are staying is somehow causing them to age rapidly – reducing their entire lives into a single day.,270.319,7/21/2021,Old,6.6,1848
"[878, 28, 53]",581726,en,"Evan McCauley has skills he never learned and memories of places he has never visited. Self-medicated and on the brink of a mental breakdown, a secret group that call themselves “Infinites” come to his rescue, revealing that his memories are real.",288.146,9/9/2021,Infinite,6.9,679
"[878, 28]",335983,en,"Investigative journalist Eddie Brock attempts a comeback following a scandal, but accidentally becomes the host of Venom, a violent, super powerful alien symbiote. Soon, he must rely on his newfound powers to protect the world from a shadowy organization looking for a symbiote of their own.",304.368,9/28/2018,Venom,6.9,12459
